IL NAME,CATION NAME,ANION NAME,Cation_SMILES,Anion_SMILES,Temperature (0 C),Pressure (bar),CO2 capacity (mol CO2/mol IL)
[Bmim][PF6],1-butyl-3-methyl-imidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25.0,83.0,0.75
[Emim][Tf2N],1-ethyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CC[n+]1ccn(C)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,100.0,13.0,0.17
[Bmim][Tf2N],1-butyl-3-methyl-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,100.0,13.0,0.18
[Omim][Tf2N],1-octyl-3-methyl-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCC[n+]1ccn(C)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,100.0,13.0,0.19
[C12mim][Tf2N],1-dodecyl-3-methyl-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCC[n+]1ccn(C)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,100.0,13.0,0.21
[Bmim][NO3],1-butyl-3-methyl-imidazolium,nitrate,CCCC[n+]1ccn(C)c1,[N+](=O)([O-])[O-],25.0,10.0,0.1
[Bmim][DCA],1-butyl-3-methyl-imidazolium,dicyanamide,CCCC[n+]1ccn(C)c1,N#C[N-]C#N,25.0,13.0,0.16
[Bmim][BF4],1-butyl-3-methyl-imidazolium,tetrafluoroborate,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,25.0,12.0,0.19
[Bmim][PF6],1-butyl-3-methyl-imidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,25.0,13.0,0.21
[Bmim][TfO],1-butyl-3-methyl-imidazolium,trifluooromethanesulfonate,CCCC[n+]1ccn(C)c1,[O-]S(=O)(=O)C(F)(F)F,25.0,12.0,0.25
[Bmim][Tf2N],1-butyl-3-methyl-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(C)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,25.0,12.0,0.27
[Bmim][Methide],1-butyl-3-methyl-imidazolium,Methide,CCCC[n+]1ccn(C)c1,[CH3-],25.0,12.0,0.37
[APbim][BF4],1-aminobytyl-3-imidazolium,tetrafluoroborate,NCCCCN1C=C[N+](=C1)C,F[B-](F)(F)F,22.0,1.0,0.5
[Amim][Tf2N],3-aminemethyl-1-n-butyl imidazolium,bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccn(CN)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,35.0,1.0,0.1
[APmim][Tf2N],1-aminopropyl-3-imidazolium,bis(trifluoromethylsulfonyl)imide,C[n+]1ccn(CCCN)c1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,30.0,1.0,0.3
[AmemI][Br],"1,3-di(2′-aminoethyl)-2-methylimidazolium", bromide,NCC[n+]1c(C)n(CCN)cc1,[Br-],30.0,1.0,1.05
[TETAH][Pz],triethylenetetrammonium,piperazine,NCCNCCNCC[NH3+],C1C[NH2+]CCN1,27.0,1.0,2.05
[TETAH][Im],triethylenetetrammonium,imidazolate,NCCNCCNCC[NH3+],C1=CN=C[N-]1,27.0,1.0,1.81
[TETAH][Py],triethylenetetrammonium,pyrazolate,NCCNCCNCC[NH3+],[n-]1nccc1,27.0,1.0,1.73
[TETAH][Tz],triethylenetetrammonium,"1,2,4-triazolate",NCCNCCNCC[NH3+],N1=CN=C[N-]1,27.0,1.0,1.5
[P66614][Pro],trihexyl(tetradecyl)phosphonium,prolinate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1C[C@H](NC1)C(=O)[O-],25.0,1.0,0.9
[P66614][Met],trihexyl(tetradecyl)phosphonium,methioninate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,CSCCC(C(=O)[O-])N,25.0,1.0,0.9
[P66614][Gly],trihexyl(tetradecyl)phosphonium,glycinate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C(C(=O)[O-])N,25.0,1.0,1.26
[P66614][Ala],trihexyl(tetradecyl)phosphonium,L-α-aminopropionic acid,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,CC(N)C([O-])=O,25.0,1.0,0.66
[P66614][Sar],trihexyl(tetradecyl)phosphonium,sarcosinate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,CNCC([O-])=O,25.0,1.0,0.91
[P66614][Ile],trihexyl(tetradecyl)phosphonium,isoleucinate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,CC[C@H](C)[C@@H](C(=O)[O-])N,25.0,1.0,0.97
[N66614][Lys],trihexyl(tetradecyl)ammonium,lysinate,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C(CCN)C[C@@H](C(=O)[O-])N,80.0,1.0,2.1
[N66614]His,trihexyl(tetradecyl)ammonium,histidine,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=C(NC=N1)C[C@@H](C(=O)[O-])N,80.0,1.0,1.8
[N66614][Asn],trihexyl(tetradecyl)ammonium,asparaginate,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C(C(C(=O)[O-])N)C(=O)N,80.0,1.0,1.9
[N66614][Gln],trihexyl(tetradecyl)ammonium,glutamate,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C(CC(=O)O)[C@@H](C(=O)[O-])N,80.0,1.0,1.5
[aP4443][Ala],3-aminopropyl)tributylphosphonium,Alanate,NCCC[P+](CCCC)(CCCC)CCCC,CC([NH2])C([O-])=O,25.0,1.0,1.0
[aN111][Gly],"1,1,1-trimethylhydrazinium",glycinate,C[N+](C)(C)N,C(C(=O)[O-])N,70.0,1.0,1.2
[APmim][Lys],1-aminopropyl-3-imidazolium,lysinate,C[n+]1ccn(CCCN)c1,C(CCN)C[C@@H](C(=O)[O-])N,40.0,1.0,1.8
[AEmim][Lys],1-aminoethyl-3-methylimidazolium,lysinate,NCCN1C=C[N+](C)=C1,C(CCN)C[C@@H](C(=O)[O-])N,40.0,1.0,1.59
[TETAH][Lys],triethylenetetrammonium,lysinate,NCCNCCNCC[NH3+],C(CCN)C[C@@H](C(=O)[O-])N,40.0,1.0,2.59
[DETAH][Lys],diethylenetriammonium,lysinate,NCCNCC[NH3+],C(CCN)C[C@@H](C(=O)[O-])N,40.0,1.0,2.13
[P66614][PhO],trihexyl(tetradecyl)phosphonium,phenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C([O-])C=C1,30.0,1.0,0.85
[P66614][4-Me-PhO],trihexyl(tetradecyl)phosphonium,p-methylphenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C)=CC=C([O-])C=C1,30.0,1.0,0.91
[P66614][4-Cl-PhO],trihexyl(tetradecyl)phosphonium,p-chlorophenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(Cl)=CC=C([O-])C=C1,30.0,1.0,0.82
[P66614][4-CF3-PhO],trihexyl(tetradecyl)phosphonium,p-trifluoromethylphenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C(F)(F)F)=CC=C([O-])C=C1,30.0,1.0,0.61
[P66614][4-NO2-PhO],trihexyl(tetradecyl)phosphonium,p-nitrophenolate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1([N+]([O-])=O)=CC=C([O-])C=C1,30.0,1.0,0.3
[DMAPAH][4F-PhO],"N, N-dimethyl-1,3-propane diamine",p-fluorophenolate,CN(C)CCC[NH3+],C1(F)=CC=C([O-])C=C1,30.0,1.0,0.86
[P66614][CIN],trihexyl(tetradecyl)phosphonium,cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C(C=C1)/C=C/C(=O)[O-],20.0,1.0,0.67
[P66614][2-OMeCIN],trihexyl(tetradecyl)phosphonium,2-methoxyl cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1=CC=C(C(OC)=C1)/C=C/C(=O)[O-],20.0,1.0,0.73
[P66614][4-CF3CIN],trihexyl(tetradecyl)phosphonium,4-trifluoromethyl cinnamate,CCCCCC[P+](CCCCCC)(CCCCCC)CCCCCCCCCCCCCC,C1(C(F)(F)F)=CC=C(C=C1)/C=C/C(=O)[O-],20.0,1.0,0.47
[MTBDH][TFE],"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene",trifluoroethyl,C[NH+]1CCNC2=NCCCN12,F[C](F)CF,23.0,1.0,1.13
[MTBDH][Im],"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene",Imidazolate,C[NH+]1CCNC2=NCCCN12,C1=CN=C[N-]1,23.0,1.0,1.03
[P2228][2CNpyr],triethyl(octyl)phosphonium,2-cyanopyrrol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1c(C#N)ccc1,23.0,1.0,0.94
[P2228][3CF3pyr],triethyl(octyl)phosphonium,3-(trifluoromethyl)pyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1nc(cc1)C(F)(F)F,23.0,1.0,0.95
[P2228][3CH35CF3pyr],triethyl(octyl)phosphonium,3-methyl-5-(trifluoromethyl)pyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1nc(C)cc1C(F)(F)F,23.0,1.0,0.81
[P2228][4NO2pyr],triethyl(octyl)phosphonium,4-nitropyrazol-1-ide,CCCCCCCC[P+](CC)(CC)CC,[n-]1ncc([N+](=O)[O-])c1,23.0,1.0,0.094
[DETA][For],Diethyelenetriammonium ,Formate,NCCNCC[NH3+],[O-]C=O,25.0,1.0,0.2695
[DETA][But],Diethyelenetriammonium ,Butanoate,NCCNCC[NH3+],CCCC([O-])=O,25.0,1.0,0.0149
[DETA][ Hex] ,Diethyelenetriammonium ,Hexanoate,NCCNCC[NH3+],CCCCCC([O-])=O,25.0,1.0,0.164
[DETA][Oct],Diethyelenetriammonium ,Octanoate,NCCNCC[NH3+],CCCCCCCC([O-])=O,25.0,1.0,0.494
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,0.0001,6.600043560287498e-06
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,0.0317,0.0018032458425165298
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,0.499,0.011736139214892756
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,0.499,0.014095933475306764
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,0.9990000000000001,0.02743244631665468
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,1.0,0.025010250102501026
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,1.5,0.03852944230968948
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,1.5,0.04090767148953888
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,2.0,0.05218855218855219
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,2.0,0.053962900505902196
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,2.5,0.0658708164570454
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,2.5,0.06734977051979935
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,3.0,0.07956385620209436
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,3.0,0.08073057386793472
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,3.5,0.09301563012351076
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,3.5,0.09409190371991247
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,4.0,0.10643947776056649
[BMIM][PF6],1-butyl-3-methylimidazolium,hexafluorophosphate,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,9.950000000000045,4.0,0.1075423634954037
